sp;Beak.Length_Culmen;Beak.Length_Nares;Beak.Width;Beak.Depth;Tarsus.Length;Wing.Length;Kipps.Distance;Secondary1;Hand.Wing.Index;Tail.Length;Mass;Habitat;Trophic.Niche;Range.Size
Euphonia_xanthogaster;10.7;6;4.8;4.8;16.4;61.4;13.7;47.7;22.4;36;13;Forest;Frugivore;3715684.5
Ilicura_militaris;9.4;5.2;2.8;3.1;17.8;61.2;13.8;46.9;22.6;50.8;12.7;Forest;Frugivore;840759.23
Iodopleura_pipra;8.2;4.5;3.6;3.5;13.9;56.6;13.7;43;24.1;32;10.03;Forest;Frugivore;130157.72
Laniisoma_elegans;20.3;13.2;5.4;6.1;22.5;103.5;26.9;76.6;26;61;47.4;Forest;Omnivore;172527.96
Legatus_leucophaius;13;8.3;6.3;4.6;15.1;78.5;20.1;59.2;25.5;55.2;22.2;Forest;Frugivore;11371457.31
Lipaugus_lanioides;26.1;16;8;8.3;24.6;133.8;22.8;111;17;116;94.8;Forest;Frugivore;201153.3
Lipaugus_vociferans;26.9;13.8;8;7.3;21.4;123.1;20.9;102.1;16.9;110.2;75.42;Forest;Frugivore;7063057.92
Machaeropterus_regulus;9.9;5.6;3.3;3.1;13.9;52.9;12.5;40.2;23.7;22.6;9.34;Forest;Frugivore;125343.35
Manacus_manacus;11.5;6.8;4.4;4.2;20.9;52.2;8.4;44.5;15.9;32.8;16.7;Forest;Frugivore;7524946.19
Melanerpes_flavifrons;27.2;20.9;6.5;6.7;18.8;117;31.2;85.8;26.6;69.5;57.78;Forest;Omnivore;1557771.44
Mionectes_oleagineus;11.8;8.2;4.2;3.4;16;60.5;10.5;50.8;17.1;48.2;11.17;Forest;Frugivore;8947569.12
Mionectes_rufiventris;14.1;9.3;4.3;3.8;16.2;68.4;9.2;60;13.3;55;13.3;Forest;Invertivore;1057487.4
Neopelma_aurifrons;12.7;8.3;4.2;4.3;15.7;71;15.1;55.9;21.3;50;14;Forest;Frugivore;5071.66
Odontophorus_capueira;21.3;11.7;7.6;13.1;37.8;146.8;15.2;130.1;10.5;75;425.4;Forest;Omnivore;1724256.7
Oxyruncus_cristatus;17.9;11.3;5.5;5.6;20.7;92.2;24;67.2;26.3;64.3;42;Forest;Frugivore;1872045.95
Pachyramphus_marginatus;14.7;10.1;6.9;5.2;18.5;67.7;15;53.7;21.8;50.4;18.4;Forest;Omnivore;6344951.42
Patagioenas_plumbea;23.1;12.9;4.3;5.1;23.1;177.8;61.9;115.7;34.9;141.6;178.77;Forest;Frugivore;6564806.47
Penelope_obscura;34.5;16.6;10.2;12;70.6;309.4;14.6;286.3;4.9;313.5;1770;Forest;Frugivore;1012773.03
Penelope_superciliaris;34.8;16.3;9.9;11;71.8;248.6;34.1;217.8;13.5;286.8;894.99;Forest;Frugivore;5614395.75
Phibalura_flavirostris;13.8;9.5;6.5;6;19.3;99;32.9;66.2;33.2;104.8;46.5;Forest;Frugivore;1084489.75
Phyllomyias_burmeisteri;11.4;6.9;3.5;3.4;15.3;63.9;14.9;48.8;23.3;48.1;11.1;Forest;Invertivore;971005.03
Pionopsitta_pileata;25.3;19;11.6;17.5;14.5;140;49.8;89.8;35.8;70.2;119;Forest;Omnivore;728878.23
Pipra_pipra;12;6.6;4.4;4.1;14.1;62;10.6;51;17.3;26.6;11.11;Forest;Frugivore;4953783.66
Pipra_rubrocapilla;10.4;6;3.8;4.1;12.6;61.2;11.5;47;19.7;31.4;12;Forest;Frugivore;3391760.24
Pipraeidea_melanonota;12.6;7.4;4.8;5;17.9;80.1;21.4;59.3;26.5;57.8;21;Forest;Omnivore;2111740.74
Turdus_flavipes;21.7;11;5;5.7;25.7;110.6;28.6;81.9;25.9;84.1;65.14;Forest;Frugivore;940921.44
Procnias_nudicollis;27;10.9;7.1;5.9;29.4;148.4;35.1;111.6;24;82.6;172.04;Forest;Frugivore;1467436.56
Psarocolius_decumanus;51.8;34.1;11.2;17.8;46.5;198.6;49.1;146.2;24.8;170.3;206.3;Forest;Omnivore;10475235.8
Pteroglossus_aracari;99.1;93.4;27.7;32.6;34.5;143.1;22.4;120.8;15.6;147;250.16;Forest;Frugivore;3319977.82
Pyroderus_scutatus;42.5;26.3;13.8;15.5;38;231;41;183.8;18.2;152.2;357;Forest;Frugivore;2116677.8
Pyrrhura_cruentata;22.8;19.1;12.1;22.7;15.7;147.4;59.5;88.5;40.2;130.6;75.9;Forest;Omnivore;10274.69
Ramphastos_dicolorus;104.3;100;30.1;33.4;46.1;191.8;26.9;164.9;14;181.2;331;Forest;Frugivore;1394133.06
Schiffornis_turdina;17;9.7;4.9;6;22.1;92.1;14.1;74.5;15.9;67.7;31.7;Forest;Omnivore;5587673.67
Schiffornis_virescens;13.9;8.6;3.8;4.5;21.4;80.2;12.5;67;15.7;64.2;25.6;Forest;Omnivore;1662556.58
Selenidera_maculirostris;55;47.8;19.3;22.4;31.8;130.7;19.4;111.2;14.8;111.3;164;Forest;Frugivore;930797.49
Stephanophorus_diadematus;14.1;8.7;6.4;7.5;23.2;98.2;20.4;77.4;20.8;81.2;35.4;Forest;Frugivore;1088996.67
Tachyphonus_cristatus;15.9;11.1;5.6;6.9;18.2;76.2;14.2;60;19.2;70.4;18.8;Forest;Omnivore;6338485.76
Tangara_cyanocephala;10.9;8;4;4.9;16.4;61.5;13.6;50.4;21.3;44.7;18;Forest;Frugivore;444844.92
Tangara_cyanoventris;12;7.7;4;4.7;18.1;67;12.7;54;19.1;48.4;16.5;Forest;Frugivore;475625.93
Tangara_desmaresti;12.6;7.9;4.3;4.7;18.9;71;14.2;56.8;20;52.8;20.4;Forest;Frugivore;260465.02
Tangara_seledon;11.8;7.7;5.1;5.2;15.9;64.2;14.4;49.9;22.4;47.5;18.7;Forest;Frugivore;672563.84
Thraupis_cyanoptera;17.9;10;6.4;7.8;20.8;96.1;24;72.1;25;66.5;43.3;Forest;Frugivore;224069.57
Tinamus_solitarius;37.9;11.4;5.8;6;73.1;261.5;35.1;223.7;13.7;156.2;1386.41;Forest;Omnivore;1069608.94
Touit_melanonotus;18.9;14.3;8.8;13.3;10.2;107.5;45.1;62.4;42;41.8;66.51;Forest;Frugivore;14296.54
Trogon_viridis;25.2;15;10.1;11.7;14.2;146.1;50.6;95.6;34.6;158.4;89.69;Forest;Frugivore;7907953.76
Turdus_fumigatus;24.2;13.8;5;6.7;31;113.5;23.9;89.6;21.1;90.8;75.7;Forest;Invertivore;4070825.39
Xipholena_atropurpurea;18.3;10.2;5.2;5.4;20.3;110.2;24;86;21.8;65.1;61.32;Forest;Frugivore;1836.59
