sp;Beak.Length_Culmen;Beak.Length_Nares;Beak.Width;Beak.Depth;Tarsus.Length;Wing.Length;Kipps.Distance;Secondary1;Hand-Wing.Index;Tail.Length;Mass;Range.Size
Phyllomyias burmeisteri;11.4;6.9;3.5;3.4;15.3;63.9;14.9;48.8;23.3;48.1;11.1;971005.03
Pionopsitta pileata;25.3;19;11.6;17.5;14.5;140;49.8;89.8;35.8;70.2;119;728878.23
Pipra pipra;12;6.6;4.4;4.1;14.1;62;10.6;51;17.3;26.6;11.11;4953783.66
Pipra rubrocapilla;10.4;6;3.8;4.1;12.6;61.2;11.5;47;19.7;31.4;12;3391760.24
Pipraeidea melanonota;12.6;7.4;4.8;5;17.9;80.1;21.4;59.3;26.5;57.8;21;2111740.74
Platycichla flavipes;21.7;11;5;5.7;25.7;110.6;28.6;81.9;25.9;84.1;65.14;940921.44
Procnias nudicollis;27;10.9;7.1;5.9;29.4;148.4;35.1;111.6;24;82.6;172.04;1467436.56
Psarocolius decumanus;51.8;34.1;11.2;17.8;46.5;198.6;49.1;146.2;24.8;170.3;206.3;10475235.8
Pteroglossus aracari;99.1;93.4;27.7;32.6;34.5;143.1;22.4;120.8;15.6;147;250.16;3319977.82
Pyroderus scutatus;42.5;26.3;13.8;15.5;38;231;41;183.8;18.2;152.2;357;2116677.8
Pyrrhura cruentata;22.8;19.1;12.1;22.7;15.7;147.4;59.5;88.5;40.2;130.6;75.9;10274.69
Ramphastos dicolorus;104.3;100;30.1;33.4;46.1;191.8;26.9;164.9;14;181.2;331;1394133.06
Schiffornis turdina;17;9.7;4.9;6;22.1;92.1;14.1;74.5;15.9;67.7;31.7;5587673.67
Schiffornis virescens;13.9;8.6;3.8;4.5;21.4;80.2;12.5;67;15.7;64.2;25.6;1662556.58
Selenidera maculirostris;55;47.8;19.3;22.4;31.8;130.7;19.4;111.2;14.8;111.3;164;930797.49
Stephanophorus diadematus;14.1;8.7;6.4;7.5;23.2;98.2;20.4;77.4;20.8;81.2;35.4;1088996.67
Tachyphonus cristatus;15.9;11.1;5.6;6.9;18.2;76.2;14.2;60;19.2;70.4;18.8;6338485.76
Tangara cyanocephala;10.9;8;4;4.9;16.4;61.5;13.6;50.4;21.3;44.7;18;444844.92
Tangara cyanoventris;12;7.7;4;4.7;18.1;67;12.7;54;19.1;48.4;16.5;475625.93
Tangara desmaresti;12.6;7.9;4.3;4.7;18.9;71;14.2;56.8;20;52.8;20.4;260465.02
Tangara seledon;11.8;7.7;5.1;5.2;15.9;64.2;14.4;49.9;22.4;47.5;18.7;672563.84
Thraupis cyanoptera;17.9;10;6.4;7.8;20.8;96.1;24;72.1;25;66.5;43.3;224069.57
Tinamus solitarius;37.9;11.4;5.8;6;73.1;261.5;35.1;223.7;13.7;156.2;1386.41;1069608.94
Touit melanonotus;18.9;14.3;8.8;13.3;10.2;107.5;45.1;62.4;42;41.8;66.51;14296.54
Trogon viridis;25.2;15;10.1;11.7;14.2;146.1;50.6;95.6;34.6;158.4;89.69;7907953.76
Turdus fumigatus;24.2;13.8;5;6.7;31;113.5;23.9;89.6;21.1;90.8;75.7;4070825.39
Xipholena atropurpurea;18.3;10.2;5.2;5.4;20.3;110.2;24;86;21.8;65.1;61.32;1836.59
